Município;Até 1 ano;1 a 4 anos;5 a 9 anos;10 a 14 anos;15 a 19 anos;20 a 24 anos;25 a 29 anos;30 a 34 anos;35 a 39 anos;40 a 44 anos;45 a 49 anos;50 a 54 anos;55 a 59 anos;60 a 64 anos;65 a 69 anos;70 a 74 anos;75 a 79 anos;80 anos ou mais
350210 Andradina;59;322;457;392;354;289;360;533;620;581;501;401;340;307;259;223;188;224
350220 Angatuba;33;86;151;124;115;136;154;154;181;161;104;64;55;33;28;14;17;14
350230 Anhembi;2;21;22;24;12;17;16;20;22;18;17;7;5;6;3;2;3;1
350240 Anhumas;5;29;34;20;18;32;40;38;50;32;24;27;33;17;13;14;11;21
350250 Aparecida;33;150;175;136;142;181;226;281;294;269;209;170;151;119;111;86;51;89
350260 Aparecida d'Oeste;4;21;32;20;19;15;20;25;26;24;29;20;19;11;10;7;2;2
350270 Apiaí;8;45;65;69;70;63;54;65;80;85;58;48;31;29;9;16;7;17
350275 Araçariguama;48;128;153;154;158;228;273;260;257;241;179;131;91;68;36;33;22;24
350280 Araçatuba;422;1837;2267;2100;1839;2233;2710;3303;3631;3752;3186;2730;2476;2034;1775;1438;1123;1603
350290 Araçoiaba da Serra;68;250;350;315;324;360;375;433;466;456;422;351;268;206;203;204;141;127
350300 Aramina;13;61;78;65;56;49;63;81;94;94;71;59;49;41;18;22;17;11
350310 Arandu;1;12;19;21;9;15;13;17;24;22;18;10;8;7;11;11;6;7
350315 Arapeí;0;2;2;2;3;2;0;4;2;0;2;1;4;4;1;2;0;1
350320 Araraquara;538;2498;3334;3188;2864;3554;4688;5286;5989;6025;5002;3790;3426;3187;2771;2310;1804;2732
350330 Araras;295;1344;1775;1768;1699;1578;2015;2580;2918;3002;2505;2000;1923;1715;1479;1236;1001;1478
350335 Arco-Íris;2;11;9;3;2;4;4;7;9;6;1;0;1;0;2;0;1;2
350340 Arealva;7;34;47;41;37;25;28;34;52;44;37;32;15;31;23;25;21;17
350350 Areias;0;4;5;4;7;3;6;5;11;6;2;10;2;3;5;5;5;2
350360 Areiópolis;25;93;116;126;91;98;136;116;148;143;111;98;51;20;12;8;3;5
350370 Ariranha;16;64;100;98;81;68;87;118;153;131;107;89;58;42;42;30;24;35
350380 Artur Nogueira;92;377;422;346;361;426;577;657;662;696;535;435;360;306;270;198;146;218
350390 Arujá;178;921;1341;1196;1205;1560;1596;1670;1892;1930;1586;1245;941;722;498;410;248;347
350395 Aspásia;2;12;10;4;5;6;10;6;9;7;4;3;3;2;2;3;2;0
350400 Assis;133;728;1012;763;686;837;997;1101;1265;1193;1010;795;696;571;498;442;310;530
350410 Atibaia;340;1794;2460;2396;2176;2364;2669;3077;3793;4084;3400;2618;2153;1915;1609;1302;995;1402
350420 Auriflama;19;82;108;87;97;75;101;150;153;160;126;123;100;98;86;73;57;66
350430 Avaí;4;21;33;20;21;20;30;41;30;36;22;22;21;11;10;3;5;4
350440 Avanhandava;2;37;53;55;20;37;55;56;57;50;47;51;27;31;20;6;14;10
350450 Avaré;76;379;471;449;391;420;465;588;747;797;710;529;468;436;437;385;299;400
350460 Bady Bassitt;79;304;344;269;225;286;387;483;525;455;301;256;180;158;124;97;57;101
350470 Balbinos;2;2;7;5;7;4;4;5;11;5;4;2;3;1;1;4;3;7
350480 Bálsamo;19;77;74;74;64;76;90;107;119;118;102;85;78;56;49;46;38;51
350490 Bananal;2;16;35;32;27;27;33;35;39;49;38;28;32;35;26;30;27;41
350500 Barão de Antonina;0;1;0;0;0;0;3;1;0;1;1;1;2;0;0;0;0;1
350510 Barbosa;3;16;16;8;15;9;18;22;14;20;18;6;9;10;13;12;6;6
350520 Bariri;27;101;135;90;90;90;138;193;217;216;191;132;129;134;125;116;112;178
350530 Barra Bonita;40;247;334;290;251;254;349;418;493;494;401;358;301;194;151;108;90;160
350535 Barra do Chapéu;0;3;1;2;0;0;1;0;1;1;1;0;0;0;1;0;0;0
350540 Barra do Turvo;1;3;9;6;2;11;8;6;9;9;4;2;2;3;0;1;0;0
350550 Barretos;171;845;1152;847;792;841;1138;1449;1657;1501;1235;1003;875;786;637;570;454;659
350560 Barrinha;80;349;477;419;426;388;449;500;619;598;453;353;308;189;134;96;78;70
350570 Barueri;802;3746;5020;4385;4354;6501;7526;8639;9758;8724;6406;4238;2984;2186;1752;1563;1105;1456
350580 Bastos;16;70;86;81;66;75;110;108;122;130;114;109;92;71;93;77;77;123
350590 Batatais;53;320;431;376;325;392;418;592;597;657;474;372;407;341;289;279;191;355
350600 Bauru;697;3483;4855;4752;4280;4689;5843;6789;7671;8227;6766;5453;4930;4477;3685;2961;2331;3547
350610 Bebedouro;137;656;859;795;726;852;1022;1172;1317;1331;1093;891;835;681;588;575;416;722
350620 Bento de Abreu;8;33;30;35;31;31;42;32;28;38;33;46;24;28;21;7;8;8
350630 Bernardino de Campos;6;29;23;33;27;19;28;27;35;30;29;24;21;19;27;11;19;27
350635 Bertioga;68;333;511;423;435;507;626;601;729;797;641;592;404;381;341;292;162;157
350640 Bilac;7;27;55;42;30;27;36;60;42;46;50;30;39;25;51;31;26;35
350650 Birigui;232;943;1271;1023;879;941;1183;1400;1603;1706;1505;1246;1074;932;817;739;563;675
350660 Biritiba-Mirim;11;64;96;102;117;119;129;153;174;164;116;116;71;53;34;27;30;36
350670 Boa Esperança do Sul;22;100;110;112;97;88;135;137;147;148;98;84;49;57;43;37;30;35
350680 Bocaina;9;48;85;65;70;47;44;71;95;91;83;46;42;35;32;31;21;36
350690 Bofete;5;23;50;36;45;43;40;55;68;55;49;33;25;14;18;8;7;8
350700 Boituva;105;473;656;575;526;627;845;928;1128;1072;809;586;418;343;296;246;155;173
350710 Bom Jesus dos Perdões;34;162;147;167;150;204;224;257;292;302;219;204;175;110;108;59;52;52
350715 Bom Sucesso de Itararé;0;11;20;5;5;5;9;14;3;3;2;1;1;0;0;0;0;0
350720 Borá;0;2;9;6;2;1;3;7;9;9;5;4;2;4;4;3;1;2
350730 Boracéia;3;12;13;13;8;14;9;20;26;22;16;15;9;13;15;6;6;15
350740 Borborema;13;45;52;40;46;41;65;64;83;86;66;77;85;64;57;37;32;49
350745 Borebi;0;20;13;8;19;12;21;19;15;16;19;8;9;6;1;3;5;4
350750 Botucatu;221;1074;1539;1359;1264;1315;1537;1882;2220;2247;1742;1296;1073;1016;797;776;549;765
350760 Bragança Paulista;358;1578;2074;1912;1819;2439;2819;3052;3554;3637;3090;2179;1839;1660;1334;1122;872;1183
350770 Braúna;7;24;28;19;21;21;28;28;27;24;21;19;21;10;15;13;10;19
350775 Brejo Alegre;0;16;12;13;11;12;9;8;21;25;22;15;14;10;6;7;6;1
350780 Brodowski;35;149;205;198;147;220;284;332;339;311;284;227;196;166;127;127;89;139
350790 Brotas;16;123;121;121;120;111;148;205;209;204;174;127;102;99;63;54;51;68
350800 Buri;4;11;29;19;20;19;17;19;27;32;17;20;7;9;4;11;5;6
350810 Buritama;14;77;106;93;77;56;82;128;123;122;93;91;90;79;58;64;42;48
350820 Buritizal;10;38;56;47;42;40;45;48;72;77;67;53;56;31;20;19;20;23
350830 Cabrália Paulista;1;10;23;16;14;18;24;33;27;31;13;17;10;7;10;4;11;6
350840 Cabreúva;115;545;652;578;665;909;937;978;1007;894;695;504;361;265;165;133;90;111
350850 Caçapava;178;872;1343;1346;1149;1066;1307;1546;1803;1884;1453;1100;754;648;431;358;296;397
350860 Cachoeira Paulista;37;180;252;264;221;245;238;307;350;423;334;224;161;148;125;100;99;143
350870 Caconde;17;55;76;59;48;49;94;86;102;95;68;79;68;87;68;59;54;109
350880 Cafelândia;17;96;127;123;100;91;122;157;137;175;131;115;106;100;65;59;73;105
350890 Caiabu;2;19;16;15;9;8;15;28;26;14;13;8;13;12;4;5;3;4
350900 Caieiras;182;868;1316;1152;1292;1522;1797;1776;1921;1979;1513;1226;957;664;490;377;254;297
350910 Caiuá;5;10;27;16;16;14;18;16;20;15;21;17;14;8;5;10;1;6
350920 Cajamar;241;1224;1636;1612;1600;2068;2243;2259;2711;2607;1875;1290;804;530;320;216;159;168
350925 Cajati;25;152;198;209;184;160;178;221;275;225;186;118;70;50;18;12;12;13
350930 Cajobi;4;41;74;48;45;44;47;69;75;76;65;53;53;29;16;11;18;22
350940 Cajuru;25;147;176;181;179;185;226;224;231;288;214;175;169;128;118;68;57;102
350945 Campina do Monte Alegre;0;10;12;13;3;9;9;24;17;16;8;14;6;9;2;2;8;4
350950 Campinas;2531;11882;16653;15086;14722;17935;22721;25766;28934;30133;25161;19773;17424;15577;14198;12025;9342;14259
350960 Campo Limpo Paulista;153;805;1147;1090;1125;1283;1344;1509;1645;1693;1410;1112;853;624;508;380;254;347
350970 Campos do Jordão;29;165;202;185;168;202;246;307;327;316;262;206;151;173;136;110;79;115
350980 Campos Novos Paulista;0;8;10;5;4;6;6;11;14;12;10;3;7;4;5;5;4;3
350990 Cananéia;4;18;32;31;13;17;19;28;43;35;28;20;20;20;20;14;10;14
350995 Canas;7;15;15;17;14;19;23;25;26;32;18;11;11;6;7;4;2;6
351000 Cândido Mota;40;197;220;142;179;195;229;279;308;272;182;148;143;97;82;55;36;66
351010 Cândido Rodrigues;5;12;16;9;13;16;15;24;38;22;28;19;25;26;23;20;28;38
351015 Canitar;4;40;41;30;27;26;40;37;48;40;32;20;14;3;6;1;1;1
351020 Capão Bonito;19;72;104;115;104;104;123;146;159;151;121;78;61;42;49;29;21;40
351030 Capela do Alto;25;98;100;73;70;105;129;125;106;124;115;66;53;49;39;21;17;16
351040 Capivari;143;611;839;734;687;830;869;967;1150;1004;867;669;608;468;373;337;249;334
351050 Caraguatatuba;127;625;835;779;711;712;888;1031;1272;1371;1146;902;656;581;603;490;317;402
351060 Carapicuíba;730;3477;4783;4405;4822;6575;7184;7535;7871;7821;5897;4231;2978;2075;1634;1501;880;852
351070 Cardoso;12;51;69;78;60;53;66;81;97;93;58;63;63;49;33;21;26;33
351080 Casa Branca;27;163;204;173;121;150;163;248;247;237;206;163;147;146;153;135;107;174
351090 Cássia dos Coqueiros;0;4;3;2;1;6;8;5;7;7;7;5;10;5;6;5;7;8
351100 Castilho;25;113;163;151;142;133;135;156;179;165;143;117;112;56;32;25;24;19
351110 Catanduva;319;1204;1481;1291;1142;1338;1779;2178;2425;2543;1845;1603;1525;1253;1193;919;718;1148
351120 Catiguá;19;76;104;116;108;99;93;134;159;179;121;97;88;59;31;35;19;24
351130 Cedral;24;97;101;98;91;98;137;162;181;164;143;94;93;65;50;68;43;77
351140 Cerqueira César;10;42;40;51;48;55;55;72;77;70;77;38;45;32;26;17;9;22
351150 Cerquilho;79;393;567;503;487;498;645;671;900;922;779;580;540;402;356;277;181;246
351160 Cesário Lange;14;77;87;76;79;114;133;145;146;140;96;69;62;50;22;28;21;25
351170 Charqueada;32;166;201;178;162;174;232;298;331;264;222;181;134;124;96;68;46;76
351190 Clementina;14;75;94;81;76;69;56;118;116;93;66;43;32;22;8;10;9;16
351200 Colina;33;143;216;230;202;250;208;252;346;315;286;248;246;175;123;107;74;105
351210 Colômbia;8;36;49;42;43;42;31;61;67;52;52;39;32;18;9;6;9;7
351220 Conchal;38;140;192;133;168;214;236;290;277;226;198;178;168;136;126;92;109;143
351230 Conchas;5;23;35;26;28;35;41;48;58;42;52;40;34;31;40;25;17;28
351240 Cordeirópolis;54;213;343;272;259;301;334;430;506;526;435;377;279;231;210;142;122;187
351250 Coroados;7;28;32;27;33;20;37;37;48;54;35;28;30;17;22;16;6;17
351260 Coronel Macedo;0;0;3;7;1;4;7;7;5;4;5;2;6;5;1;1;0;1
351270 Corumbataí;3;34;30;46;41;39;35;54;58;56;52;20;17;36;20;17;13;19
351280 Cosmópolis;112;595;828;766;734;749;857;1037;1214;1199;947;736;525;385;300;242;189;227
351290 Cosmorama;14;32;38;35;32;50;74;82;88;66;63;39;44;36;24;20;17;27
351300 Cotia;567;2568;3796;3613;3338;4031;4544;5038;6245;6435;4628;3101;2229;1623;1369;1067;736;888
351310 Cravinhos;73;307;501;478;519;605;668;660;799;746;612;476;403;307;273;214;163;243
351320 Cristais Paulista;12;64;63;50;49;57;62;90;94;98;50;49;57;40;44;32;25;36
351330 Cruzália;1;4;4;6;4;8;4;4;8;5;7;6;4;0;1;2;4;1
351340 Cruzeiro;105;620;893;857;811;690;773;892;1192;1217;907;605;422;326;224;201;144;231
351350 Cubatão;250;1248;1638;1569;1522;1670;1831;2162;2339;2379;1991;1540;1179;789;498;434;332;469
351360 Cunha;8;20;35;28;27;40;45;47;55;50;42;23;38;32;34;34;31;25
351370 Descalvado;51;237;375;370;351;348;368;400;570;534;477;427;380;344;262;192;166;200
351380 Diadema;853;4207;6090;5608;5636;6945;7876;8582;9923;9939;7792;6096;4456;3040;2513;2034;1340;1499
351385 Dirce Reis;0;13;5;5;4;7;7;8;11;7;1;6;3;2;2;1;1;0
351390 Divinolândia;10;47;35;36;25;37;44;88;97;58;50;36;38;38;22;30;16;18
351400 Dobrada;24;95;112;104;107;90;132;139;144;134;114;78;49;32;26;20;17;15
351410 Dois Córregos;32;116;157;119;109;125;148;198;252;252;194;163;142;106;91;60;63;92
351420 Dolcinópolis;2;8;16;10;6;4;8;10;12;9;8;5;1;6;3;1;2;2
351430 Dourado;9;59;79;53;71;68;75;95;106;94;77;73;48;29;23;23;21;29
351440 Dracena;43;193;231;221;183;183;243;313;353;355;315;237;217;213;205;178;148;221
351450 Duartina;10;54;72;52;57;47;60;78;88;92;89;61;63;52;52;40;52;72
351460 Dumont;18;98;114;115;120;142;143;183;197;193;130;121;133;88;98;81;44;65
351470 Echaporã;7;28;32;24;16;26;39;25;37;25;18;14;10;17;10;16;10;34
351480 Eldorado;4;12;24;17;9;24;26;24;34;25;15;23;20;19;21;16;9;16
351490 Elias Fausto;22;105;134;104;111;162;187;176;200;213;163;115;87;73;59;37;33;41
351492 Elisiário;5;28;38;29;30;22;36;39;51;55;35;29;22;11;22;16;15;12
351495 Embaúba;11;15;29;26;22;18;19;33;32;36;23;21;21;10;8;2;3;9
351500 Embu;332;1656;2267;2063;2224;3197;3658;3582;3924;3827;2956;1948;1328;930;709;539;374;372
351510 Embu-Guaçu;47;205;281;276;308;413;446;465;552;505;439;286;167;136;105;84;62;90
351512 Emilianópolis;0;19;16;13;13;17;18;20;18;19;21;14;11;12;9;9;9;12
351515 Engenheiro Coelho;33;149;162;131;173;215;281;266;274;217;171;93;111;83;68;70;46;67
351518 Espírito Santo do Pinhal;72;314;407;397;399;455;527;562;659;648;617;544;548;433;405;296;219;349
351519 Espírito Santo do Turvo;2;14;12;13;15;14;12;26;18;15;10;10;4;2;0;1;0;1
351520 Estrela d'Oeste;6;25;49;39;20;37;43;41;57;63;49;32;43;33;37;29;17;36
351530 Estrela do Norte;3;15;30;19;19;18;25;36;42;31;16;23;26;16;13;11;7;12
351535 Euclides da Cunha Paulista;5;10;14;16;18;15;18;18;18;22;18;19;15;12;8;6;1;1
351540 Fartura;2;15;11;17;16;21;22;24;32;32;18;14;22;17;24;14;8;19
351550 Fernandópolis;124;574;681;537;469;444;687;874;943;839;689;583;504;451;403;321;269;439
351560 Fernando Prestes;9;39;38;37;41;37;55;77;71;68;60;69;61;46;34;47;36;73
351565 Fernão;0;5;2;1;4;2;8;4;4;1;3;2;0;0;4;0;1;1
351570 Ferraz de Vasconcelos;254;1164;1807;1537;1272;1677;2159;2147;2410;2332;1794;1236;875;560;415;282;184;167
351580 Flora Rica;0;4;6;3;3;0;2;4;8;3;2;3;1;2;3;2;2;0
351590 Floreal;6;9;15;16;11;10;20;20;16;29;17;18;12;23;11;10;9;14
351600 Flórida Paulista;10;37;54;46;52;52;60;78;80;65;51;48;32;22;27;12;19;20
351610 Florínia;2;7;10;18;7;6;9;9;7;14;5;5;5;2;2;2;3;0
351620 Franca;678;3035;3902;3160;3035;4016;5079;5621;6050;5442;4314;3489;3269;2840;2588;2220;1825;2781
351630 Francisco Morato;266;1262;1707;1269;1719;2583;2878;2405;2468;2236;1618;1103;711;476;318;191;103;89
351640 Franco da Rocha;233;1183;1520;1323;1440;2237;2201;2213;2387;2263;1699;1107;752;509;358;274;174;209
351650 Gabriel Monteiro;5;15;21;25;10;14;13;26;21;26;35;29;18;18;15;12;12;11
351660 Gália;2;9;23;18;14;20;21;23;42;76;42;47;21;21;17;11;13;18
351670 Garça;35;186;220;174;171;228;303;339;413;335;292;206;176;165;131;143;111;156
351680 Gastão Vidigal;7;9;23;12;24;20;12;19;19;32;21;16;15;16;10;12;7;11
351685 Gavião Peixoto;9;64;84;64;58;80;96;105;99;107;72;48;45;28;15;11;11;16
351690 General Salgado;15;52;92;81;68;52;92;107;131;124;105;100;120;99;86;55;45;45
351700 Getulina;3;29;50;75;59;39;46;67;83;76;81;62;43;40;50;35;38;52
351710 Glicério;3;18;16;13;10;19;18;11;10;20;11;13;6;5;8;8;7;6
351720 Guaiçara;14;78;120;120;95;73;117;145;140;159;115;97;78;63;40;36;29;36
351730 Guaimbê;5;20;22;28;27;21;18;25;32;45;20;24;9;16;12;4;3;19
351740 Guaíra;76;365;474;522;469;472;494;578;736;775;639;586;537;384;288;231;177;196
351750 Guapiaçu;43;196;319;244;217;245;295;313;400;406;315;242;208;166;140;111;102;85
351760 Guapiara;4;8;10;13;6;13;8;15;7;16;8;7;9;3;2;2;6;1
351770 Guará;27;122;164;138;147;138;178;201;222;231;201;156;129;123;101;85;58;71
351780 Guaraçaí;4;23;34;22;21;23;31;39;36;29;23;24;22;24;11;25;24;37
351790 Guaraci;17;101;117;121;87;81;127;132;154;113;85;66;63;38;23;21;19;17
351800 Guarani d'Oeste;3;7;12;5;5;3;8;12;9;7;11;7;3;4;2;3;1;0
351810 Guarantã;1;25;36;36;21;22;30;21;32;39;19;12;14;16;20;18;11;14
351820 Guararapes;36;230;327;284;240;252;286;400;472;435;388;298;287;236;195;157;125;201
351830 Guararema;33;138;206;189;184;183;219;254;300;359;285;226;162;130;129;126;96;97
351840 Guaratinguetá;194;774;950;869;813;946;1125;1327;1500;1436;1143;863;709;649;610;493;400;595
351850 Guareí;2;18;18;16;17;8;19;23;24;15;14;7;6;7;2;6;5;6
351860 Guariba;74;375;519;562;552;472;411;506;627;627;503;423;346;251;190;158;122;164
351870 Guarujá;558;2767;3756;3646;3589;3805;4405;4639;5516;6020;5091;4313;3588;3017;2516;1893;1304;1616
351880 Guarulhos;3311;16280;22747;20188;19491;24780;29056;29677;33145;32667;26458;20052;15512;11488;9627;7729;5329;6575
351885 Guatapará;10;58;69;83;73;65;82;102;103;87;80;61;33;19;30;30;18;22
351890 Guzolândia;6;14;10;21;25;16;17;18;25;28;30;16;19;5;9;7;0;8
351900 Herculândia;6;26;31;20;21;21;35;43;40;29;21;22;22;17;8;14;14;18
351905 Holambra;17;122;139;136;118;125;149;222;221;217;202;178;159;151;120;96;57;99
351907 Hortolândia;562;2431;3279;2817;2489;3219;4278;4990;5580;4852;3611;2482;1751;1030;807;593;359;425
351910 Iacanga;13;65;87;78;91;53;70;90;101;108;79;69;60;40;27;17;17;31
351920 Iacri;3;25;39;20;11;17;26;29;30;28;25;18;32;19;16;26;19;28
351925 Iaras;3;8;15;12;19;10;11;13;27;24;21;22;12;10;4;7;3;1
351930 Ibaté;48;249;328;310;266;329;354;365;474;424;314;230;171;122;97;60;52;82
351940 Ibirá;14;98;104;102;89;100;127;151;164;141;122;85;88;79;53;45;47;68
351950 Ibirarema;4;12;21;19;18;14;24;22;32;27;17;6;12;12;6;7;5;11
351960 Ibitinga;64;339;363;265;275;327;451;537;604;608;533;435;439;379;290;224;134;192
351970 Ibiúna;77;309;432;357;364;482;585;575;630;594;478;311;271;235;189;146;97;172
351980 Icém;12;49;83;74;52;51;45;89;111;97;58;58;47;39;43;39;17;23
351990 Iepê;4;41;28;36;25;27;44;51;62;50;56;36;42;26;32;27;27;28
352000 Igaraçu do Tietê;50;166;228;227;232;172;188;280;283;308;257;202;138;79;34;19;12;21
352010 Igarapava;53;263;340;309;355;292;295;353;438;484;340;354;275;228;147;119;95;120
352020 Igaratá;9;45;43;39;36;46;59;62;68;75;51;34;19;21;39;23;14;12
352030 Iguape;5;22;35;36;36;37;45;46;58;61;53;44;50;29;40;23;21;25
352040 Ilhabela;11;66;96;88;93;69;90;129;169;171;184;126;127;93;111;100;56;56
352042 Ilha Comprida;5;2;14;13;8;10;15;19;21;20;22;12;14;17;26;16;13;8
352044 Ilha Solteira;35;103;199;193;187;168;182;240;251;267;250;260;219;188;174;160;135;165
352050 Indaiatuba;612;2933;3970;3645;3342;3855;4517;5381;6482;6725;5143;3529;2672;2165;1739;1473;1113;1433
352060 Indiana;4;17;40;30;18;17;33;37;39;39;29;23;34;23;24;10;12;17
352070 Indiaporã;6;9;18;16;12;6;13;19;14;17;16;10;10;14;6;7;4;14
352080 Inúbia Paulista;5;13;22;8;16;10;13;11;22;11;10;10;5;5;6;2;3;4
352090 Ipaussu;22;79;112;96;92;66;102;91;126;126;69;77;50;51;38;27;26;43
352100 Iperó;42;155;214;200;212;230;265;278;285;318;251;157;108;68;52;41;24;30
352110 Ipeúna;5;39;49;33;37;56;64;82;75;109;80;64;53;49;41;35;25;29
352115 Ipiguá;10;44;50;40;24;37;40;73;58;49;39;37;30;27;18;15;15;14
352120 Iporanga;1;1;0;1;2;1;2;1;3;1;2;5;1;4;3;3;0;1
352130 Ipuã;12;102;132;129;115;143;181;181;230;234;205;176;142;124;98;57;52;60
352140 Iracemápolis;69;268;386;345;391;365;396;486;580;563;453;374;327;277;214;152;128;186
352150 Irapuã;12;40;75;57;45;50;44;61;74;79;66;46;30;20;15;20;13;17
352160 Irapuru;4;22;29;31;14;27;20;29;25;37;25;21;20;8;12;8;11;14
352170 Itaberá;6;38;62;37;35;35;59;59;52;48;31;18;20;15;13;3;1;6
352180 Itaí;12;67;100;83;69;86;104;110;124;114;77;57;53;38;43;29;22;20
352190 Itajobi;35;162;139;103;78;91;165;202;181;213;147;105;110;76;82;69;71;88
352200 Itaju;3;7;6;6;5;6;8;8;13;12;5;4;5;2;7;9;3;6
352210 Itanhaém;47;280;477;445;414;388;529;544;716;860;683;511;462;510;494;443;296;371
352215 Itaóca;0;3;2;2;6;3;2;2;3;11;4;6;3;0;3;0;0;0
352220 Itapecerica da Serra;160;779;1130;1145;1121;1641;1879;1826;2042;2004;1634;1189;877;683;458;358;236;272
352230 Itapetininga;161;903;1178;1015;1016;1091;1335;1503;1603;1504;1212;828;614;489;465;364;289;458
352240 Itapeva;73;386;699;594;562;530;528;692;711;802;655;435;342;295;230;170;115;167
352250 Itapevi;420;1908;2656;2291;2322;3525;4009;3887;4020;3582;2561;1738;1115;684;465;354;192;200
352260 Itapira;107;470;721;604;524;658;942;1071;1148;1220;922;742;637;521;433;341;236;329
352265 Itapirapuã Paulista;0;3;9;5;3;3;5;5;9;6;7;0;1;0;2;0;0;0
352270 Itápolis;54;241;296;239;256;293;350;427;475;525;432;356;291;221;165;161;108;188
352280 Itaporanga;2;8;14;15;10;13;11;8;21;27;16;20;15;12;11;11;8;10
352290 Itapuí;5;35;53;26;23;21;37;46;58;47;34;29;26;26;23;19;16;23
352300 Itapura;3;16;18;22;25;28;21;18;27;25;27;16;18;13;9;3;1;3
352310 Itaquaquecetuba;611;2912;3979;3326;3264;4378;5133;5138;5521;5209;4093;3127;2332;1442;1038;706;403;334
352320 Itararé;18;79;137;128;145;126;140;144;173;155;138;83;68;55;41;46;42;32
352330 Itariri;7;25;26;22;38;34;30;40;36;48;43;37;28;18;23;20;13;25
352340 Itatiba;200;988;1402;1331;1232;1489;1626;1919;2296;2355;1874;1421;1228;931;767;641;440;594
352350 Itatinga;19;148;192;215;183;170;180;214;243;233;185;136;106;52;48;18;17;25
352360 Itirapina;24;73;121;96;89;85;96;127;162;126;91;80;96;43;43;44;32;52
352370 Itirapuã;2;22;32;40;43;33;41;46;45;44;40;33;28;20;23;13;14;17
352380 Itobi;9;36;57;57;50;37;52;81;83;86;66;61;46;39;23;42;30;33
352390 Itu;285;1598;2128;2042;1914;2294;2707;3013;3397;3534;2973;2263;1802;1456;1195;1000;748;983
352400 Itupeva;158;866;1161;1134;1056;1288;1389;1487;1782;1881;1385;892;690;512;404;309;199;238
352410 Ituverava;63;351;403;366;379;374;413;523;558;650;525;445;437;370;320;284;215;319
352420 Jaborandi;7;30;50;45;49;24;39;54;61;55;40;34;38;23;20;14;8;14
352430 Jaboticabal;114;572;798;767;737;805;1003;1074;1438;1400;1140;982;895;844;821;743;578;859
352440 Jacareí;506;2386;3519;3401;3081;3177;3804;4464;5248;5529;4402;3276;2510;1997;1661;1515;1200;1523
352450 Jaci;11;44;87;48;48;54;87;76;95;115;94;72;53;52;41;21;13;13
352460 Jacupiranga;6;28;58;49;36;28;63;67;78;67;71;42;40;38;19;23;11;13
352470 Jaguariúna;97;506;754;619;674;767;920;1083;1287;1242;932;635;464;367;272;240;134;238
352480 Jales;107;515;513;403;318;309;471;591;681;606;484;325;308;293;251;193;158;216
352490 Jambeiro;7;42;55;47;40;50;62;54;60;66;50;38;34;34;18;18;11;20
352500 Jandira;196;991;1443;1300;1322;1871;2154;2223;2323;2266;1716;1151;834;569;439;307;227;166
352510 Jardinópolis;47;312;425;366;383;479;578;630;759;698;574;448;381;300;309;213;155;225
352520 Jarinu;77;291;436;397;383;521;514;585;640;572;435;287;201;151;105;110;58;97
352530 Jaú;166;764;952;780;717;763;857;1234;1498;1500;1104;817;646;570;571;486;356;623
352540 Jeriquara;5;16;19;23;25;19;20;26;27;30;31;25;12;8;7;9;10;7
352550 Joanópolis;18;52;72;56;49;44;54;78;97;88;74;73;48;57;45;41;27;48
352560 João Ramalho;6;28;37;39;32;25;30;37;48;38;32;18;23;12;7;5;8;4
352570 José Bonifácio;65;320;384;336;291;262;406;510;543;485;393;291;284;221;234;157;109;170
352580 Júlio Mesquita;5;13;19;14;12;12;20;23;31;20;10;16;8;3;6;4;1;6
352585 Jumirim;1;16;27;24;16;36;30;47;53;44;42;44;41;33;21;15;11;23
352590 Jundiaí;1216;5975;8614;7568;7701;8687;9846;11698;14096;14723;11755;8836;7101;6131;5216;4362;3334;5062
352600 Junqueirópolis;22;82;149;139;130;132;114;143;188;161;136;105;98;50;40;37;28;50
352610 Juquiá;3;24;48;46;38;49;46;56;56;50;43;34;34;35;23;16;11;17
352620 Juquitiba;8;44;72;68;53;70;89;88;103;84;66;51;32;30;20;18;12;15
352630 Lagoinha;3;6;9;6;12;3;9;12;13;19;10;2;7;5;9;9;2;12
352640 Laranjal Paulista;32;110;149;140;130;270;282;308;369;346;279;238;213;191;140;143;101;175
352650 Lavínia;3;20;13;13;5;7;14;26;22;26;8;11;10;12;10;12;16;19
352660 Lavrinhas;7;74;83;81;55;62;84;78;97;85;61;35;20;11;7;4;2;4
352670 Leme;149;690;903;864;786;1004;1213;1424;1783;1828;1456;1151;962;817;637;529;379;551
352680 Lençóis Paulista;115;694;831;812;753;922;934;1145;1311;1317;1088;720;594;439;299;219;195;251
352690 Limeira;709;3164;4691;4776;4675;4591;5031;6054;7151;7300;6093;4957;4241;3625;3327;2596;1921;2532
352700 Lindóia;1;12;36;13;11;22;29;40;47;37;30;28;31;16;16;15;11;12
352710 Lins;146;781;1031;1015;930;844;1036;1192;1478;1583;1294;1097;1006;814;705;624;517;876
352720 Lorena;125;590;822;731;687;873;998;1078;1256;1229;964;673;460;420;405;362;296;463
352725 Lourdes;0;6;10;8;11;5;7;8;10;21;11;13;5;6;3;5;1;1
352730 Louveira;97;459;702;552;574;837;982;1137;1216;1104;767;547;368;291;246;182;127;164
352740 Lucélia;15;87;95;61;59;55;88;108;129;90;83;63;66;46;40;39;27;54
352750 Lucianópolis;3;6;4;10;6;13;9;9;6;9;9;8;6;4;5;1;6;8
