Município;Até 1 ano;1 a 4 anos;5 a 9 anos;10 a 14 anos;15 a 19 anos;20 a 24 anos;25 a 29 anos;30 a 34 anos;35 a 39 anos;40 a 44 anos;45 a 49 anos;50 a 54 anos;55 a 59 anos;60 a 64 anos;65 a 69 anos;70 a 74 anos;75 a 79 anos;80 anos ou mais
251272 Pedro Régis;0;1;2;2;1;2;2;1;2;2;1;0;0;0;1;1;0;2
251274 Riachão;0;1;0;0;1;0;0;0;2;0;0;0;0;1;0;0;0;0
251275 Riachão do Bacamarte;0;1;1;1;2;5;0;3;2;0;1;1;0;2;2;0;0;1
251276 Riachão do Poço;1;6;0;3;1;3;3;3;2;1;1;2;0;4;0;0;0;0
251278 Riacho de Santo Antônio;0;1;3;2;3;3;0;0;3;2;1;0;0;0;0;0;0;1
251280 Riacho dos Cavalos;0;1;2;1;1;0;3;2;3;4;3;2;0;0;0;0;1;1
251290 Rio Tinto;5;34;40;39;21;19;25;32;47;39;28;30;25;13;17;12;5;8
251300 Salgadinho;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
251310 Salgado de São Félix;0;2;5;4;4;4;3;3;6;3;1;2;2;4;2;3;0;2
251315 Santa Cecília;0;1;0;1;1;0;0;1;0;3;0;1;0;0;0;0;0;0
251320 Santa Cruz;1;5;2;2;0;3;1;3;3;5;4;3;3;1;1;0;1;2
251330 Santa Helena;0;1;2;1;1;0;1;1;2;1;2;0;0;0;0;0;0;0
251335 Santa Inês;0;0;0;1;0;0;1;0;0;0;2;0;0;0;0;0;0;0
251340 Santa Luzia;1;16;9;11;12;9;14;20;25;23;16;10;15;17;13;12;6;11
251350 Santana de Mangueira;0;1;4;1;1;0;0;0;1;2;0;0;1;0;0;0;0;0
251360 Santana dos Garrotes;0;0;1;4;2;3;3;1;0;3;3;3;0;0;2;0;0;0
251365 Santarém;0;0;1;0;0;0;1;1;2;0;1;0;0;0;0;0;0;0
251370 Santa Rita;114;484;544;378;295;351;527;617;602;523;383;267;160;118;109;65;53;70
251380 Santa Teresinha;0;0;1;0;1;1;1;1;2;2;0;0;1;1;0;0;0;0
251385 Santo André;3;10;13;22;35;33;42;26;31;47;37;39;26;11;14;2;2;3
251390 São Bento;5;20;24;14;10;13;6;30;34;16;17;12;15;13;9;6;3;13
251392 São Bentinho;0;0;3;2;1;0;2;4;2;1;0;0;0;0;0;0;0;0
251394 São Domingos do Cariri;1;0;1;1;1;2;2;1;0;0;2;0;0;0;0;2;0;0
251396 São Domingos;0;1;1;0;2;0;0;1;2;0;0;1;0;0;0;0;0;0
251398 São Francisco;0;1;1;2;1;0;0;2;1;0;0;0;0;0;0;1;0;1
251400 São João do Cariri;1;3;8;1;4;3;3;2;2;5;2;1;3;2;3;1;3;3
251410 São João do Tigre;0;0;1;2;0;0;0;2;0;1;0;0;1;0;1;0;0;0
251420 São José da Lagoa Tapada;1;1;2;3;1;1;1;3;1;4;3;0;2;0;0;2;0;2
251430 São José de Caiana;0;1;1;2;2;0;0;2;3;0;0;0;1;1;0;0;0;0
251440 São José de Espinharas;0;0;1;0;0;0;0;0;1;0;0;0;0;3;0;0;0;0
251445 São José dos Ramos;0;0;2;0;1;0;1;0;1;1;0;0;0;1;0;1;0;0
251450 São José de Piranhas;1;11;16;14;7;9;8;13;15;18;9;5;2;7;5;5;0;10
251460 São José do Bonfim;0;1;2;1;1;0;0;2;1;1;1;0;0;0;0;0;0;0
251470 São José do Sabugi;0;0;3;1;1;3;0;0;1;1;1;0;1;4;3;2;0;1
251480 São José dos Cordeiros;0;0;0;0;3;0;2;0;1;0;2;0;1;1;0;0;1;0
251490 São Mamede;1;2;7;4;4;8;1;2;3;6;7;2;2;4;2;2;2;4
251500 São Miguel de Taipu;0;3;0;0;2;2;1;1;3;0;2;2;0;0;2;1;0;0
251510 São Sebastião de Lagoa de Roça;4;12;9;6;11;16;12;15;9;11;11;4;7;4;6;4;3;10
251520 São Sebastião do Umbuzeiro;0;0;0;0;1;1;1;1;1;0;1;3;0;0;0;0;0;0
251530 Sapé;19;93;133;63;40;47;82;117;123;98;51;43;37;38;32;31;15;32
251540 Seridó;0;1;0;2;3;1;1;1;1;2;2;1;1;0;0;0;0;2
251550 Serra Branca;1;12;10;16;7;28;11;15;17;12;11;23;16;17;9;8;12;14
251560 Serra da Raiz;0;0;3;0;2;0;2;1;2;0;1;1;1;1;0;1;0;0
251570 Serra Grande;0;0;1;0;1;0;4;0;2;0;2;2;1;0;0;0;0;0
251580 Serra Redonda;0;4;6;7;1;1;3;5;6;5;1;3;0;2;1;0;1;0
251590 Serraria;1;2;2;3;3;3;0;1;4;7;3;2;3;1;2;2;1;3
251593 Sertãozinho;0;5;9;4;3;1;7;6;7;6;2;5;2;1;2;0;0;3
251597 Sobrado;5;9;8;8;7;6;5;11;4;3;6;1;1;1;1;0;1;0
251600 Solânea;6;19;30;30;18;29;29;39;38;49;33;25;19;19;20;20;10;17
251610 Soledade;1;10;8;11;12;12;17;14;16;13;16;10;10;6;11;11;5;12
251615 Sossêgo;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
